,L policy,R policy,L votes,R votes
0,0.1,0.9,0.0,0.0
1,0.1,0.89,264.0,228.0
2,0.1,0.88,361.0,336.0
3,0.1,0.87,397.0,380.0
4,0.1,0.86,418.0,410.0
5,0.11,0.86,423.0,439.0
6,0.12,0.86,437.0,448.0
7,0.13,0.86,449.0,457.0
8,0.14,0.86,455.0,461.0
9,0.14,0.85,467.0,458.0
10,0.14,0.84,477.0,462.0
11,0.14,0.83,477.0,465.0
12,0.14,0.82,475.0,469.0
13,0.15000000000000002,0.82,471.0,477.0
14,0.15000000000000002,0.8099999999999999,475.0,474.0
15,0.16000000000000003,0.8099999999999999,473.0,480.0
16,0.16000000000000003,0.7999999999999999,479.0,477.0
17,0.17000000000000004,0.7999999999999999,475.0,484.0
18,0.18000000000000005,0.7899999999999999,481.0,481.0
19,0.17000000000000004,0.7799999999999999,482.0,482.0
20,0.18000000000000005,0.7799999999999999,475.0,491.0
21,0.19000000000000006,0.7799999999999999,475.0,492.0
22,0.20000000000000007,0.7799999999999999,479.0,489.0
23,0.21000000000000008,0.7799999999999999,484.0,485.0
24,0.21000000000000008,0.7699999999999999,488.0,483.0
25,0.21000000000000008,0.7599999999999999,489.0,482.0
26,0.22000000000000008,0.7599999999999999,486.0,487.0
27,0.22000000000000008,0.7499999999999999,488.0,485.0
28,0.22000000000000008,0.7399999999999999,488.0,485.0
29,0.2300000000000001,0.7399999999999999,477.0,497.0
30,0.2400000000000001,0.7399999999999999,480.0,494.0
31,0.2500000000000001,0.7399999999999999,487.0,488.0
32,0.2500000000000001,0.7299999999999999,489.0,487.0
33,0.2600000000000001,0.7399999999999999,488.0,488.0
34,0.2600000000000001,0.7299999999999999,495.0,482.0
35,0.2600000000000001,0.7199999999999999,494.0,483.0
36,0.2600000000000001,0.7099999999999999,492.0,485.0
37,0.2600000000000001,0.6999999999999998,490.0,487.0
38,0.27000000000000013,0.6999999999999998,482.0,496.0
39,0.28000000000000014,0.6999999999999998,486.0,493.0
40,0.29000000000000015,0.6999999999999998,487.0,493.0
41,0.30000000000000016,0.7099999999999999,490.0,490.0
42,0.30000000000000016,0.6999999999999998,500.0,482.0
43,0.30000000000000016,0.6899999999999998,503.0,479.0
44,0.30000000000000016,0.6799999999999998,501.0,481.0
45,0.30000000000000016,0.6699999999999998,500.0,483.0
46,0.30000000000000016,0.6599999999999998,495.0,488.0
47,0.31000000000000016,0.6599999999999998,487.0,497.0
48,0.3200000000000002,0.6599999999999998,489.0,496.0
49,0.31000000000000016,0.6699999999999998,493.0,493.0
50,0.31000000000000016,0.6599999999999998,495.0,492.0
51,0.3200000000000002,0.6599999999999998,493.0,494.0
52,0.3200000000000002,0.6499999999999998,494.0,493.0
53,0.3300000000000002,0.6499999999999998,493.0,494.0
54,0.3300000000000002,0.6399999999999998,495.0,492.0
55,0.3300000000000002,0.6299999999999998,494.0,493.0
56,0.3400000000000002,0.6299999999999998,484.0,504.0
57,0.3500000000000002,0.6299999999999998,489.0,499.0
58,0.3600000000000002,0.6299999999999998,491.0,497.0
59,0.3600000000000002,0.6199999999999998,496.0,492.0
60,0.3600000000000002,0.6099999999999998,496.0,492.0
61,0.3700000000000002,0.6099999999999998,493.0,495.0
62,0.3800000000000002,0.6099999999999998,493.0,496.0
63,0.3800000000000002,0.5999999999999998,495.0,494.0
64,0.39000000000000024,0.5999999999999998,494.0,495.0
65,0.39000000000000024,0.5899999999999997,497.0,492.0
66,0.40000000000000024,0.5899999999999997,494.0,495.0
67,0.40000000000000024,0.5799999999999997,495.0,494.0
68,0.40000000000000024,0.5699999999999997,495.0,494.0
69,0.41000000000000025,0.5699999999999997,493.0,496.0
70,0.42000000000000026,0.5699999999999997,494.0,495.0
71,0.42000000000000026,0.5599999999999997,496.0,493.0
72,0.42000000000000026,0.5499999999999997,496.0,493.0
73,0.43000000000000027,0.5499999999999997,493.0,496.0
74,0.4400000000000003,0.5499999999999997,494.0,495.0
75,0.4400000000000003,0.5399999999999997,496.0,493.0
76,0.4400000000000003,0.5299999999999997,497.0,492.0
77,0.4400000000000003,0.5199999999999997,495.0,494.0
78,0.4500000000000003,0.5199999999999997,491.0,498.0
79,0.4600000000000003,0.5199999999999997,492.0,498.0
80,0.4500000000000003,0.5299999999999997,495.0,495.0
81,0.4400000000000003,0.5399999999999997,495.0,495.0
82,0.4400000000000003,0.5299999999999997,496.0,495.0
83,0.4500000000000003,0.5299999999999997,495.0,496.0
84,0.4500000000000003,0.5199999999999997,496.0,495.0
85,0.4600000000000003,0.5199999999999997,494.0,497.0
86,0.4700000000000003,0.5199999999999997,495.0,496.0
87,0.4700000000000003,0.5099999999999997,498.0,493.0
88,0.4700000000000003,0.49999999999999967,497.0,494.0
89,0.4800000000000003,0.49999999999999967,494.0,497.0
90,0.48999999999999966,0.49999999999999967,494.0,498.0
91,0.47999999999999965,0.48999999999999966,496.0,496.0
92,0.47999999999999965,0.48999999999999966,494.0,498.0
93,0.47999999999999965,0.48999999999999966,493.0,499.0
94,0.47999999999999965,0.48999999999999966,493.0,499.0
95,0.47999999999999965,0.48999999999999966,492.0,501.0
96,0.47999999999999965,0.48999999999999966,492.0,501.0
97,0.47999999999999965,0.48999999999999966,492.0,501.0
98,0.47999999999999965,0.48999999999999966,492.0,501.0
99,0.47999999999999965,0.48999999999999966,492.0,501.0
100,0.47999999999999965,0.48999999999999966,492.0,501.0
